id,name,name_with_place,municipality,locality,modes,lines,line_count,has_bus,has_rail
de:08111:251,Münster Kultur-/Sportzentrum,Münster Kultur-/Sportzentrum,Stuttgart,Stuttgart,Bus,59,1,True,False
de:08111:2258,Nastplatz,Nastplatz,Stuttgart,Stuttgart,Bus; Nachtbus,"56, N4",2,True,False
de:08111:87,Neckarhalde,Neckarhalde,Stuttgart,Stuttgart,Bus; Nachtbus,"61, N7",2,True,False
de:08111:2452,Nikolauspflege,Nikolauspflege,Stuttgart,Stuttgart,Bus,"40, 50",2,True,False
de:08111:6275,Nixenweg,Nixenweg,Stuttgart,Stuttgart,Bus; Nachtbus,"54, N5",2,True,False
de:08111:2461,Nordsee-/Schwieberd. Straße,Nordsee-/Schwieberd. Straße,Stuttgart,Stuttgart,Bus,52,1,True,False
de:08111:2243,Obere Mönchhalde,Obere Mönchhalde,Stuttgart,Stuttgart,Bus; Nachtbus,"44, N2",2,True,False
de:08111:2435,Oberwiesenstraße 55,Oberwiesenstraße 55,Stuttgart,Stuttgart,Bus,66,1,True,False
de:08111:252,Oderstraße,Oderstraße,Stuttgart,Stuttgart,Bus,59,1,True,False
de:08111:2236,Oskar-Schlemmer-Straße,Oskar-Schlemmer-Straße,Stuttgart,Stuttgart,Bus,43,1,True,False
de:08111:2612,Osterbronnstraße,Osterbronnstraße,Stuttgart,Stuttgart,Bus; Nachtbus,"81, N10",2,True,False
de:08111:2429,Paul-Lincke-Straße,Paul-Lincke-Straße,Stuttgart,Stuttgart,Bus,91,1,True,False
de:08111:6015,Pestalozzi-Schule,Pestalozzi-Schule,Stuttgart,Stuttgart,Bus; Nachtbus,"82, N10",2,True,False
de:08111:6466,Pflugfelder Straße,Pflugfelder Straße,Stuttgart,Stuttgart,Bus,"98, 508",2,True,False
de:08111:2310,Planckstraße,Planckstraße,Stuttgart,Stuttgart,Bus; Nachtbus,"42, N9",2,True,False
de:08111:2247,Postdörfle,Postdörfle,Stuttgart,Stuttgart,Bus; Nachtbus,"44, N2",2,True,False
de:08111:6792,Rappachschule,Rappachschule,Stuttgart,Stuttgart,Bus,90,1,True,False
de:08111:2653,Rappachstraße,Rappachstraße,Stuttgart,Stuttgart,Bus,90,1,True,False
de:08111:2184,Relenbergstraße,Relenbergstraße,Stuttgart,Stuttgart,Bus,43,1,True,False
de:08111:374,Rembrandtstraße,Stuttgart Rembrandtstraße,Stuttgart,Stuttgart,Nachtbus,N9,1,True,False
de:08111:2548,Riedenberg,Riedenberg,Stuttgart,Stuttgart,Bus,65,1,True,False
de:08111:2474,Rilke-Realschule,Rilke-Realschule,Stuttgart,Stuttgart,Bus; Nachtbus,"52, N5",2,True,False
de:08111:2475,Robert-Bosch-Krankenhaus,Robert-Bosch-Krankenhaus,Stuttgart,Stuttgart,Bus,57,1,True,False
de:08111:2524,Rohracker,Rohracker,Stuttgart,Stuttgart,Bus; Ruftaxi,"62, RT7",2,True,False
de:08111:2522,Rohracker Kelter,Rohracker Kelter,Stuttgart,Stuttgart,Bus; Ruftaxi,"62, RT7",2,True,False
de:08111:2616,Rohrer Höhe,Rohrer Höhe,Stuttgart,Stuttgart,Bus; Nachtbus,"82, N10",2,True,False
de:08111:2205,Rosenbergplatz,Rosenbergplatz,Stuttgart,Stuttgart,Bus; Nachtbus,"42, N2",2,True,False
de:08111:6296,Rosensteinstraße,Rosensteinstraße,Stuttgart,Stuttgart,Nachtbus,N5,1,True,False
de:08111:2262,Rotebühl-/Reinsburgstraße,Rotebühl-/Reinsburgstraße,Stuttgart,Stuttgart,Bus,92,1,True,False
de:08111:2510,Rotenberg,Rotenberg,Stuttgart,Stuttgart,Bus; Ruftaxi,"61, RT6",2,True,False
de:08111:6147,Roßbachstraße,Roßbachstraße,Stuttgart,Stuttgart,Bus,90,1,True,False
de:08111:6174,Rübezahlweg,Stuttgart Rübezahlweg,Stuttgart,Stuttgart,Bus,72,1,True,False
de:08111:6028,STEP,Stuttgart STEP,Stuttgart,Stuttgart,Bus,X60,1,True,False
de:08111:2118,Schattengrund,Schattengrund,Stuttgart,Stuttgart,Bus,92,1,True,False
de:08111:2208,Schickhardtschule,Schickhardtschule,Stuttgart,Stuttgart,Bus; Nachtbus,"42, N10",2,True,False
de:08111:2526,Schildfarnweg,Schildfarnweg,Stuttgart,Stuttgart,Bus; Nachtbus,"65, N7",2,True,False
de:08111:2465,Schlotwiese,Schlotwiese,Stuttgart,Stuttgart,Bus,99,1,True,False
de:08111:2471,Schnarrenberg,Schnarrenberg,Stuttgart,Stuttgart,Bus; Nachtbus,"52, N4",2,True,False
de:08111:6276,Schneideräckerstraße,Schneideräckerstraße,Stuttgart,Stuttgart,Bus; Nachtbus,"54, N5",2,True,False
de:08111:2192,Schottstraße,Schottstraße,Stuttgart,Stuttgart,Bus,43,1,True,False
de:08111:2600,Schulze-Delitzsch-Straße,Schulze-Delitzsch-Str.,Stuttgart,Stuttgart,Bus,80,1,True,False
de:08111:2059,Schwarenbergstraße,Schwarenbergstraße,Stuttgart,Stuttgart,Bus; Nachtbus,"42, N9",2,True,False
de:08111:205,Schwilkenhofstraße,Schwilkenhofstraße,Stuttgart,Stuttgart,Bus,98,1,True,False
de:08111:202,Schwärmerweg,Schwärmerweg,Stuttgart,Stuttgart,Bus,98,1,True,False
